trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-48.7543030664995,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-7.1939438659193184,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-31.605509580366142,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,11.835608648985662,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-38.25921001602499,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,7.994010692297525,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-34.630512155360904,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,22.60763235428189,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,29.367277741863788,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,7.753216745316804,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-48.68218053201261,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-1.4982207314539948,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-23.35139261171247,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-12.00850941347235,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,7,18.86721964874911,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,9.08090325374674,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-0.5074368452546174,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
