trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.37531109885139957}",35,0,-215.2966300179933,"{0: 20, 1: 3, 2: 6, 3: 4, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.140858420921045}",20,1,17.877969672544655,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.05286572873835037}",20,0,-31.437671588120956,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.019841094744370288}",25,0,-31.957726700150268,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.007446583070924338}",20,0,-39.69525716943602,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.0027947852750368437}",25,18,10.108107695395146,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.0010489139326277893}",30,0,14.933204288569598,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.0003936690406550783}",20,6,-1.1958883814659873,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.00014774836023203364}",25,6,-28.191964590872168,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 5.5451599432176945e-05}",25,0,-21.690306132528242,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 2.0811600715958e-05}",20,0,5.872902381736196,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 7.810824733562767e-06}",20,0,2.778679045651508,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 2.9314892136891307e-06}",20,6,17.805828379720985,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.1002204380606942e-06}",20,0,-9.095304429299313,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 4.129249415873272e-07}",25,0,-26.026523425824298,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.5497531357028967e-07}",25,0,16.770954026354236,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 5.81639552309056e-08}",20,0,19.691087379040653,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 2.182957795125478e-08}",30,0,40.25926343802875,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 8.19288288834771e-09}",25,0,20.316335042979674,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 3.074879879586606e-09}",20,0,3.756020027652306,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 1.154036546443712e-09}",25,0,-2.2808655992817495,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 4.331227243604635e-10}",20,0,17.957467283566228,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 1.6255576561723732e-10}",20,0,25.98857238094496,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 6.100898301843587e-11}",20,0,-13.154337192526576,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
