trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.2272728143185254}",25,0,-110.52451346832622,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.05165293212826292}",30,0,-100.90339869732225,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.0026680253974469357}",20,0,-114.02403614897172,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 7.1183595214218795e-06}",30,0,-184.7660419263552,"{0: 19, 1: 4, 2: 3, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 5.067104227621753e-11}",20,0,-95.53669896989814,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 2.5675545253582243e-21}",20,0,-60.301960856795674,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 6.592336240687497e-42}",30,0,-100.6507068873172,"{0: 15, 1: 6, 2: 9, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 4.3458897110281755e-83}",30,0,-169.2570585322715,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.888675738042056e-165}",20,0,-121.32853983025574,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.0}",25,10,-43.09065663815288,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.0}",35,0,-148.70040072298656,"{0: 20, 1: 4, 2: 9, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.0}",25,0,-152.1578578777857,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.0}",20,0,-128.64610135744027,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.0}",25,0,-114.63872226601936,"{0: 16, 1: 5, 2: 1, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.0}",25,0,-95.11589648878049,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.0}",20,0,-206.7543672017432,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.0}",25,0,-230.48354612287667,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 5}",0
18,False,"{'a': 0.5, 'e': 0.0}",25,0,-224.66065945619548,"{0: 14, 1: 2, 2: 3, 3: 2, 4: 4}",0
19,False,"{'a': 0.5, 'e': 0.0}",25,0,-43.46773353814219,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.0}",25,0,-112.26045741773004,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,0,-191.16851421192138,"{0: 20, 1: 0, 2: 5, 3: 2, 4: 3}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-53.11109855361496,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-138.57949578815214,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-64.52380286579616,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,0,-177.46414827499171,"{0: 15, 1: 3, 2: 9, 3: 2, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-36.195605962058025,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-60.9764328565149,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-228.30168134023967,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 5}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-61.445610147849386,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-112.13425959116483,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
